Who Died,Description,Gender
Beaumont Livingston,Shot to death by Ordell Robbie with a pistol.,Male
Melanie Ralston,Shot to death by Louis Gara with a pistol.,Female
Louis Gara,Shot to death by Ordell Robbie with a pistol.,Male
Ordell Robbie,Shot to death by Ray Nicolette with a pistol.,Male
Ordell Robbie,2 (Deceased),Male
Louis Gara,1 (Deceased),Male
