Who Died,Description,Gender
Unnamed American Soldier #222,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #223,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #224,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #225,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #226,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #227,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #228,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #229,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #230,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #231,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #232,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #233,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #234,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #235,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #236,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #237,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #238,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #239,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #240,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #241,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #242,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #243,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #244,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #245,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #246,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #247,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #248,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #249,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #250,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Senior Private Fredrick Zoller,Shot to death by Shosanna Dreyfus with a pistol.,Unknown
Shosanna Dreyfus,Shot to death by Fredrick Zoller with a pistol.,Female
Two Unnamed Nazi Soldiers,Shot to death by Omar Ulmer and Donny Donowitz with wrist guns in an attack orchestrated by The Basterds.,Unknown
Marcel,Burned alive after setting the cinema on fire. (Debatable),Male
Francesca Mondino,Shot to death by Omar Ulmer with a machine gun after being trapped in the burning theater by Marcel in an attack orchestrated by The Basterds. Shared kill between Marcel and all the Basterds.,Female
Unnamed Man,Accidentally blown up with the bombs attached to Omar and Donny in an attack orchestrated by The Basterds. Shared kill between Marcel and all the Basterds.,Unknown
Private First Class Omar Ulmer,Blown up with a suicide bomb.,Male
Hermann,Shot to death by Aldo Raine with a pistol.,Male
Staff Sergeant Donny Donowitz/The Bear Jew,259 (Deceased),Unknown
Private First Class Omar Ulmer,258 (Deceased),Male
First Lieutenant Aldo Raine/The Apache,257 (Alive),Unknown
Private First Class Gerold Hirschberg,256 (Alive),Unknown
Private First Class Michael Zimmerman,256 (Alive),Unknown
Private First Class Simon Sakowitz,256 (Alive),Unknown
Private First Class Smithson Utivich,256 (Alive),Unknown
Senior Private Fredrick Zoller,251 (Deceased),Unknown
Bridget von Hammersmark,238 (Deceased),Female
Shosanna Dreyfus,236 (Deceased),Female
Marcel,234 (Possibly Deceased),Male
Technical Sergeant Hugo Stiglitz,33 (Deceased),Unknown
Corporal Wilhelm Wicki,19 (Deceased),Unknown
"Lieutenant Archibald ""Archie"" Hicox",18 (Deceased),Unknown
Colonel Hans Landa/The Jew Hunter,5 (Alive),Unknown
Nazi Sergeant Wilhelm,3 (Deceased),Male
Eric,1 (Deceased),Male
Major Dieter Hellstrom,1 (Deceased),Male
